id,date,text,label
1.32721807040703E+018,2020-11-13 11:53:41+00:00,INJURY ACCIDENT reported at Gender &amp; Refugee Rds.  #ColumbusOH #610crash @JohnHillTraffic https://t.co/4qsBzggV3h,3
1.22733459866697E+018,2020-02-11 20:52:25+00:00,"@TheNastyLee @Nature_and_Race They had descendants of black slaves in USA.
No such thing in Europe, so they're invading us with third world ""refugees"".
This is a war.
#Remigration #WhiteGenocide",1
1.26632119193931E+018,2020-05-29 10:51:13+00:00,"[cont] Authorities seized also 2 cars &amp; 29,000 TND in cash. All referred to Public Prosecutor for completion of legal proceedings.  #migrantcrisis #frontex #seenotrettung",2
1.19663020949738E+018,2019-11-19 03:24:08+00:00,"Yet another atrocious safe third country agreement, this time signed w/ Guatemala. Basically, it means almost any #AsylumSeeker who enters the US w/out a visa can be sent by the US govt to Guatemala in order to first seek protection there. It’s an absurd &amp; inhumane agreement: 1/ https://twitter.com/Haleaziz/status/1196540739892596736",0
1.29457374954359E+018,2020-08-15 09:56:48+00:00,"The way I'm feeling today, would genuinely #removethetorygovernment and replace it with all the #AsylumSeekers 

Either that or just burn this motherfucker down!",0
1.21819942167607E+018,2020-01-17 15:52:29+00:00,@mariofcenteno @SZ Any news on starting a real #FiscalUnion?,3
1.32203091624024E+018,2020-10-30 04:21:47+00:00,"Trump being racist? WHAT 😱😱 The refugees you speak of are the ones trying to run from the terrorism in their own country, they themselves are not terrorists. Can you act like a decent human for once in your life? https://t.co/2CqQezpPWz",0
1.2349274322365E+018,2020-03-03 19:43:38+00:00,"Ignoring European and international asylum law, German Interior Minister Horst #Seehofer now letting potential refugees coming from Turkey know in Arabic:

""Europe’s borders are not open for #refugees from #Turkey, and neither are our German borders.""

#Asylum #Asylrecht #EU https://twitter.com/BMI_Bund/status/1234911949915381767",0
1.20404196068154E+018,2019-12-09 14:15:48+00:00,"Then begin to think of every naira or dollar you invest today as a currency that’s buying your future freedom.
That's how successful entrepreneurs think!


Download the i-invest app today and get on the path to buying freedom.
#iinvest #treasurybills #eurobonds #investment


2/2",3
1.26153117011151E+018,2020-05-16 05:37:23+00:00,"In the middle of a global pandemic, the Perikatan Nasional government is rounding up hundreds of South Asian migrant workers and turning back boats carrying #Rohingya refugees #Malaysia #ASEAN #Migration #Refugees 

https://t.co/UfJosrRufG",2
1.22593351975249E+018,2020-02-08 00:05:02+00:00,#refugees #refugeecrisis 1 author encyclopedia site:Will Islam take over Europe or will #Muslims gradually integrate http://bit.ly/SesVJ7,2
1.23615289413669E+018,2020-03-07 04:53:11+00:00,An #AsylumSeeker Who Was #Kidnapped And #Tortured With #Acid Begged US Border Officers Not To Send Her Back. They Did Anyway.  #DemocraticResistanceTaskForce  https://flip.it/GPaHkL,0
1.31106631098249E+018,2020-09-29 22:12:21+00:00,"""The place where my deep gladness and the world’s deep hunger meet is there at the table with 
#refugees I once welcomed as they began life in a new country, who now welcome me as family in the life they’ve created."" 
https://t.co/iT2iiM88zu",2
1.22437278319247E+018,2020-02-03 16:43:13+00:00,Interesting piece that mentions #fiscalunion. It could be the symetric side of the #socialagenda on #minimumwage. One way to get all sides on track? https://twitter.com/stefanauer_hku/status/1224288692031782912,3
1.31138415395122E+018,2020-09-30 19:15:21+00:00,@realDonaldTrump @Lrihendry https://t.co/OiVMF6MVg4 well bided killed all members of this refugee iraq girl. 500.000 children died in iraqwar. Under biden obama.more than 3000 people died from droneattacks. Does biden have answers for this regugee iraq girl?,0
1.30611298199489E+018,2020-09-16 06:09:35+00:00,"@ScottMorrisonMP I have worked with wombats - and just like the rest of Australia that one right there Phucking. Hates. You.

#OPENTHEBORDERS and #uniteourfamilies

People are dying you overpaid waste of space...😡 https://t.co/0QP8peZIJK",0
1.17759468929958E+018,2019-09-27 14:43:47+00:00,"Following the earthquake and floods in Albania, the EU is helping provide relief through the #EUCivPro Mechanism. 

A big thanks to 🇦🇹🇭🇷🇮🇹🇬🇷🇭🇺🇫🇮🇲🇪🇳🇴🇸🇰🇸🇮 for offering emergency relief items, including tents, recovery camps, generators, electric heaters and food kits. #EUSolidarity",0
1.2923862256351E+018,2020-08-09 09:04:22+00:00,"#RefugeesWelcome 
#Liverpool knows the score.
#SocialistSunday",0
1.30421150610035E+018,2020-09-11 00:13:48+00:00,Hi @EUHomeAffairs @Interieur_Gouv @BMI_Bund @ministerieJenV @ukhomeoffice #Moria has burned down - this humanitarian catastrophe calls for urgent action. Relocate refugees from camps on the Greek islands before further tragedies happen! #RefugeesWelcome #LeaveNoOneBehind,0
1.16976190088995E+018,2019-09-05 23:59:04+00:00,We just received our first fan letter from a young reader for Ghost's Journey- A #Refugee Story  written by #RobinStevenson,3
1.25780584114053E+018,2020-05-05 22:54:16+00:00,"They aren't seeking sanctuary in France.


Please donate to support those who find a home here. https://bit.ly/34r4hDt


#RefugeesWelcome https://twitter.com/UK_National/status/1257712296178192386",0
1.18160886450195E+018,2019-10-08 16:34:41+00:00,Look @Retasleeds @lassnleeds @PAFRAS_Leeds @refugeecouncil please promote to your networks! #RefugeesWelcome #refugeecrisis https://twitter.com/LeedsTrinity/status/1181552617459261442,0
1.22002239029141E+018,2020-01-22 16:36:19+00:00,"There Should Be No Hierarchy of Rights for Displaced Children 


#EuropeanUnion #France #Greece #HumanRights #Italy #Migration #OpenDemocracy #Racism #RefugeeCrisis #Refugees #RefugeesWelcome


https://redrevolution.co.uk/2020/01/22/there-should-be-no-hierarchy-of-rights-for-displaced-children/",0
1.32219461168363E+018,2020-10-30 15:12:15+00:00,"Armenia isn't being attacked. Instead, it is Armenia attacked and occupied worldwide recognized territories of #Azerbaijan. Almost 50 thousand Azerbaijani civilians were killed during occupation and almost 1 million refugees. 
#AzeYouthVoice #StopArmenianAggression",2
1.29802532521402E+018,2020-08-24 22:32:08+00:00,Liberals Appeal Court Ruling That Struck Down Canada-U.S. Refugee Agreement: https://t.co/Uie3Dnpq9i #refugees #asylumseekers #cdnimm,2
1.29511982551004E+018,2020-08-16 22:06:43+00:00,"It's not illegal to cross the channel in a dinghy
It's not illegal to seek asylum, the term illegal asylum seeker does not exist in English law, just the pages of the daily mail
It's not an invasion despite how many times Nigel Farage tries to tell you it is
#AsylumSeekers #hope",0
1.23347707771582E+018,2020-02-28 19:40:26+00:00,"@amnesty 'The #EU Commission must also urgently coordinate any support that might be required to #Greece and #Bulgaria to ensure asylum-seekers have access to adequate reception and asylum procedures'

#SafePassage
#OPENTHEBORDERS
#SpeakUpForIdlib
#Syria",0
1.20808737821837E+018,2019-12-20 18:10:50+00:00,Jesus was a child #refugee #RefugeesWelcome https://twitter.com/MacLeanKatie/status/1207939761769504769,0
1.26199637103028E+018,2020-05-17 12:25:56+00:00,@MelisaHalpin @RBoydBarrett @rtetwip @pb4p Good for it seems to me to be discriminatory towards over 66’s . And #asylumseekers who are working.  #taxpayers. Whose going to take this up I wonder.,2
1.2754621148037E+018,2020-06-23 16:13:59+00:00,They're doing the Lords work in looking after us for sure. #LeaveNoOneBehind https://t.co/E3Gb3CNjE1,0
1.26159967014661E+018,2020-05-16 10:09:35+00:00,4 #AsylumSeekers on #Lesbos diagnosed with #Coronavirus | The island hosts thousands of migrants in overcrowded camps https://www.aljazeera.com/news/2020/05/asylum-seekers-lesbos-diagnosed-coronavirus-200515160954523.html #RefugeeCrisis #HumanRights #COVID19,2
1.19742490979595E+018,2019-11-21 08:02:00+00:00,"Thanks to @eu_echo support, our LIFT project family is growing!  👩‍👧‍👧👨‍👩‍👦‍👦👪👩‍👩‍👦 ...

Our newest local partner @InsanPs provides psychosocial and legal support to survivors of gender-based violence. 

#EUsolidarity, implemented by @giz_gmbh ♥️",0
1.29801851854648E+018,2020-08-24 22:05:05+00:00,#IslamicState #bomb #refugeecrisis Knowledge is power site:Brit #MPs deslike attack on Syria https://t.co/jF1ii5ZbU2 https://t.co/UyEUoyGqwY,2
